idOpstina,NazivOpstineLat,Godina,OznakaOP,Opis,IznosUkupno
79057,Grad Vranje,1/1/2011,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),1581030
79057,Grad Vranje,1/1/2013,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),2141093
79057,Grad Vranje,1/1/2012,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),2178884
80179,Indjija,1/1/2011,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),1374329
80179,Indjija,1/1/2012,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),1558136
80179,Indjija,1/1/2013,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),1441367
80187,Irig,1/1/2011,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),303106
80187,Irig,1/1/2012,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),429441
80187,Irig,1/1/2013,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),365361
70564,Ivanjica,1/1/2011,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),708251
70564,Ivanjica,1/1/2012,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),802209
70564,Ivanjica,1/1/2013,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),831981
71048,Jagodina,1/1/2011,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),2233963
71048,Jagodina,1/1/2012,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),2763909
71048,Jagodina,1/1/2013,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),2226515
80195,Kanjiza,1/1/2011,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),919032
80195,Kanjiza,1/1/2012,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),1153341
80195,Kanjiza,1/1/2013,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),1022957
80209,Kikinda,1/1/2011,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),1737006
80209,Kikinda,1/1/2012,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),2136178
80209,Kikinda,1/1/2013,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),1944932
70572,Kladovo,1/1/2011,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),579001
70572,Kladovo,1/1/2012,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),763348
70572,Kladovo,1/1/2013,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),654250
70599,Knic,1/1/2012,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),321452
70599,Knic,1/1/2011,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),250674
70599,Knic,1/1/2013,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),325130
70602,Knjazevac,1/1/2011,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),641260
70602,Knjazevac,1/1/2012,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),940169
70602,Knjazevac,1/1/2013,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),868106
70637,Koceljeva,1/1/2012,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),328023
70637,Koceljeva,1/1/2011,5001,tekuci prihodi i primanja od prodaje nefinansijske imovine (5002 + 5104),277226
