,norm_percent_change,ingov11,ingov13,mun,mun_id,wage_2011,wage_2013,dummy_1became aligned,dummy_2aligned both years,dummy_3unaligned both years,dummy_4stopped being aligned,area_km2,pop_total,labor_pariticpation_rate,wage_2012,employment_rate,dummy_city,dummy_normal,constant,Tax_Income_per_Capita
158,9.38450861211,1.0,-1.0,Ruma,80357,31322.0,36687.0,0.0,0.0,0.0,1.0,582.0,52979.0,0.387824582712,35215.0,0.767106387017,0.0,1.0,1,
137,6.51331764644,1.0,0.0,Vrsac,80128,44198.0,52454.0,0.0,0.0,0.0,1.0,800.0,50964.0,0.391227463191,49689.0,0.777341063182,0.0,1.0,1,
150,6.46313897285,1.0,-1.0,Novi Becej,80268,28603.0,32959.0,0.0,0.0,0.0,1.0,609.0,23320.0,0.409822361546,30976.0,0.756042835288,0.0,1.0,1,
113,6.10900640781,1.0,-1.0,sabac,71269,36635.0,40444.0,0.0,0.0,0.0,1.0,797.0,113827.0,0.419307238273,37772.0,0.78738861106,0.0,1.0,1,
156,5.92137589585,1.0,1.0,Pecinci,80322,40358.0,46800.0,0.0,1.0,0.0,0.0,489.0,19585.0,0.395436105477,42790.0,0.858296999231,0.0,1.0,1,
161,4.81196129169,1.0,-1.0, Sombor,80381,33825.0,36345.0,0.0,0.0,0.0,1.0,1216.0,83297.0,0.389939815839,35699.0,0.768128489118,0.0,1.0,1,
147,4.53475392669,1.0,1.0,Kula,80233,30084.0,37741.0,0.0,1.0,0.0,0.0,481.0,41587.0,0.384144219392,34523.0,0.727607658392,0.0,1.0,1,
98,2.58500784098,1.0,1.0,Smederevo,71099,40458.0,40376.0,0.0,1.0,0.0,0.0,484.0,106470.0,0.383572530936,41499.0,0.741916831301,0.0,1.0,1,
6,2.18047062294,1.0,-1.0,Batocina,70076,27127.0,28732.0,0.0,0.0,0.0,1.0,136.0,11427.0,0.360119047619,28759.0,0.721133412043,0.0,1.0,1,
56,0.656160797428,1.0,1.0,Kosjeric,70629,46435.0,51662.0,0.0,1.0,0.0,0.0,358.0,11542.0,0.359718775848,46382.0,0.849160726604,0.0,1.0,1,
136,-1.75540339405,0.0,1.0,Becej,80110,30758.0,37603.0,1.0,0.0,0.0,0.0,486.0,36399.0,0.382934861182,34290.0,0.74704607425,0.0,1.0,1,30.4126486991
160,-2.35020640622,0.0,-1.0,Secanj,80373,26976.0,33278.0,0.0,0.0,1.0,0.0,523.0,12640.0,0.337152332856,31150.0,0.728146657724,0.0,1.0,1,209.269778481
144,-2.58132591249,1.0,-1.0,Kikinda,80209,32090.0,36449.0,0.0,0.0,0.0,1.0,783.0,57424.0,0.387297529141,34767.0,0.784504473204,0.0,1.0,1,
3,-5.88702370464,1.0,1.0,Arilje,70041,25259.0,28037.0,0.0,1.0,0.0,0.0,349.0,18495.0,0.49579608344,24021.0,0.892776644843,0.0,1.0,1,
135,-6.33963888276,1.0,-1.0, Beocin,80101,44891.0,48073.0,0.0,0.0,0.0,1.0,184.0,15428.0,0.402645300776,46070.0,0.703885028427,0.0,1.0,1,
124,-9.80613325771,1.0,1.0,Grad Nis,79022,33275.0,38460.0,0.0,1.0,0.0,0.0,596.0,258500.0,0.441363065206,35765.0,0.683716556822,1.0,0.0,1,61.0680464217
139,-10.4474478812,1.0,1.0,zitiste,80144,32003.0,36662.0,0.0,1.0,0.0,0.0,525.0,16050.0,0.359954872038,36558.0,0.774001979545,0.0,1.0,1,230.08847352
159,-11.3218620847,1.0,0.0,Senta,80365,38898.0,44648.0,0.0,0.0,0.0,1.0,293.0,22705.0,0.387716589466,43070.0,0.817367256637,0.0,1.0,1,
58,-11.4103184795,0.0,1.0,Kragujevac - grad,70645,36918.0,43011.0,1.0,0.0,0.0,0.0,835.0,178847.0,0.436263007407,39282.0,0.717054412122,1.0,0.0,1,6.35436993631
112,-12.2464142931,0.0,1.0,cacak,71242,32979.0,37989.0,1.0,0.0,0.0,0.0,636.0,113383.0,0.426324596617,35613.0,0.800614183157,0.0,1.0,1,22.4615683127
127,-12.9358296988,1.0,-1.0,Ada,80012,29778.0,33857.0,0.0,0.0,0.0,1.0,227.0,16555.0,0.398446236243,32436.0,0.801477104874,0.0,1.0,1,54.9338568408
143,-21.0487189243,0.0,0.0,Kanjiza,80195,34825.0,40460.0,0.0,0.0,1.0,0.0,399.0,24627.0,0.406029278302,37879.0,0.837900874636,0.0,1.0,1,
155,-21.1623793452,1.0,1.0,Pancevo,80314,43621.0,50754.0,0.0,1.0,0.0,0.0,756.0,122013.0,0.410277602217,47558.0,0.763281589446,0.0,1.0,1,
140,-25.5687025535,1.0,1.0,Zrenjanin,80152,36771.0,42635.0,0.0,1.0,0.0,0.0,1327.0,120709.0,0.410734261766,39538.0,0.769938226529,0.0,1.0,1,
166,-27.258718801,1.0,-1.0,Subotica,80438,34703.0,39761.0,0.0,0.0,0.0,1.0,1007.0,139612.0,0.419373525298,37202.0,0.78486961795,0.0,1.0,1,3.43688221643
141,-27.2776285113,1.0,-1.0,Indjija,80179,31130.0,35326.0,0.0,0.0,0.0,1.0,385.0,46871.0,0.413952311682,33509.0,0.750903997963,0.0,1.0,1,
94,-45.7203302978,0.0,1.0,Jagodina,71048,31244.0,35900.0,1.0,0.0,0.0,0.0,470.0,71231.0,0.418847074542,34384.0,0.736600764247,0.0,1.0,1,9.70602687032
52,-46.0801524639,0.0,0.0,Ivanjica,70564,29369.0,32782.0,0.0,0.0,1.0,0.0,1090.0,31033.0,0.449707474267,30733.0,0.769723111173,0.0,1.0,1,26.2075854735
59,-67.9335322305,1.0,1.0,Kraljevo,70653,32309.0,37400.0,0.0,1.0,0.0,0.0,1530.0,122782.0,0.392945939054,35376.0,0.775948083553,0.0,1.0,1,
123,-91.8322942208,1.0,-1.0,Grad Beograd,79014,46986.0,54103.0,0.0,0.0,0.0,1.0,3234.0,1675043.0,0.435151617413,51121.0,0.821235881613,1.0,0.0,1,
