,mun_id,mun,appointment,same_person,party_change,pres_name,party_id,party_abr,prior_party_id,prior_party_name,date
203,70840,Negotin,1.0,0.0,1.0,Jovan Milovanovic,1,SNS,3.0,SPS,15-May-2014
204,70840,Negotin,1.0,0.0,1.0,Milan Urkovic,3,SPS,2.0,DS,21-Sep-2012
205,70840,Negotin,1.0,,,Vlajko Djordjevic,2,DS,,,11-May-2010
206,70866,Nova Varos,0.0,0.0,0.0,Ivan Mladenovic,1,SNS,,,29-Feb-2016
207,70866,Nova Varos,1.0,0.0,1.0,Dimitrije Paunovic,1,SNS,,,5-Jul-2012
208,70866,Nova Varos,1.0,,,Slavisa Puric,2,DS,,,22-May-2008
209,70874,Novi Pazar,1.0,0.0,0.0,Dr.Meho Mahmutovic,31,SDPS,32.0,SDA,14-Sep-2009
210,70882,Osecina,0.0,1.0,1.0,Nenad Stevanovic,1,SNS,4.0,URS,18-Aug-2015
211,70882,Osecina,1.0,1.0,1.0,Nenad Stevanovic,4,URS,37.0,G17+,29-May-2012
212,70882,Osecina,1.0,0.0,,Nenad Stevanovic,37,G17+,,,6-May-2008
213,70904,Paracin,1.0,1.0,0.0,Sasa Paunovic,2,DS,2.0,DS,29-May-2012
214,70904,Paracin,1.0,1.0,,Sasa Paunovic,2,DS,,,20-May-2008
215,70912,Petrovac,1.0,1.0,0.0,Radisa Dragojevic,3,SPS,,,15-May-2012
216,70912,Petrovac,1.0,1.0,0.0,Radisa Dragojevic,3,SPS,,,15-May-2008
217,70939,Pirot,1.0,1.0,0.0,Vladan Vasic,30,KzP,30.0,KzP,1-Jun-2012
218,70939,Pirot,1.0,1.0,,Vladan Vasic,30,KzP,,,27-May-2008
219,70947,Grad Pozarevac,1.0,0.0,1.0,Miomir Ilic,3,SPS,2.0,DS,1-Feb-2013
220,70947,Grad Pozarevac,1.0,0.0,1.0,Miodrag Milosavljevic,2,DS,7.0,DSS,24-Jun-2011
221,70955,Pozega,1.0,0.0,1.0,Milan Bozic,1,SNS,2.0,DS,22-Oct-2015
222,70955,Pozega,1.0,1.0,0.0,Milovan Micovic,2,DS,2.0,DS,10-May-2012
223,70955,Pozega,1.0,0.0,,Milovan Micovic,2,DS,,,25-May-2008
224,70963,Presevo,1.0,1.0,0.0,Ragmi Mustafa,18,DPA,18.0,DPA,7-May-2012
225,70963,Presevo,1.0,1.0,,Ragmi Mustafa,18,DPA,,,22-May-2008
226,70971,Priboj,1.0,1.0,0.0,Lazar Rvovic,1,SNS,,,2-Jul-2012
227,70971,Priboj,0.0,1.0,1.0,Lazar Rvovic,1,SNS,17.0,SRS,21-Oct-2008
228,70971,Priboj,1.0,0.0,0.0,Lazar Rvovic,17,SRS,,,22-Jul-2008
229,70980,Prijepolje,0.0,0.0,1.0,Emir Hasimbegovic,27,SDzP,1.0,SNS,7-Jan-2012
230,70980,Prijepolje,1.0,0.0,1.0,Dragoljub Zindovic,1,SNS,2.0,DS,4-Apr-2010
231,70998,Prokuplje,1.0,0.0,0.0,Miroljub Paunovic,3,SPS,,,30-May-2014
232,70988,Prokuplje,1.0,0.0,1.0,Ljubisa Djurkovic,3,SPS,,,18-Sep-2012
233,70988,Prokuplje,1.0,0.0,0.0,Boban Lepojevic,2,DS,,,25-May-2012
234,70988,Prokuplje,1.0,,,Milan Arsovic,2,DS,,,28-May-2008
235,71005,Razanj,1.0,1.0,0.0,Dobrica Stanojevic,15,NS,15.0,NS,15-May-2012
236,71005,Razanj,1.0,1.0,0.0,Dobrica Stanojevic,15,NS,15.0,NS,20-Jun-2008
237,71013,Raca,1.0,0.0,1.0,Dragan Stevanovic,1,SNS,4.0,URS,23-Aug-2015
238,71013,Raca,1.0,1.0,0.0,Dragana Zivanovic,4,URS,15.0,NS,8-Dec-2012
239,71013,Raca,1.0,,,Dragana Zivanovic,15,NS,,,3-Jul-2008
240,71021,Raska,0.0,0.0,1.0,Ignjat Rakitic,1,SNS,3.0,SPS,12-Jun-2014
241,71021,Raska,1.0,0.0,0.0,Jovan Corbic,3,SPS,3.0,SPS,11-Sep-2012
242,71021,Raska,1.0,1.0,0.0,Dragisa Ilic,3,SPS,3.0,SPS,11-May-2008
243,71030,Rekovac,1.0,0.0,1.0,Predrag Djordjevic,3,SPS,,,23-May-2012
244,71030,Rekovac,1.0,,,Dragan Prodanovic,2,DS,,,25-May-2008
245,71048,Jagodina,1.0,0.0,0.0,Ratko Stevanovic,13,JS,,,28-May-2012
246,71048,Jagodina,1.0,1.0,0.0,Dragan Markovic ,13,JS,,,1-Jun-2008
247,71048,Jagodina,1.0,0.0,1.0,Dragan Markovic ,13,JS,,,1-Mar-2004
248,71064,Svrljig,1.0,0.0,0.0,Jelena Trifunovic,23,USS,23.0,USS,18-Apr-2014
249,71064,Svrljig,1.0,1.0,0.0,Milija Miletic,23,USS,23.0,USS,28-Jun-2012
250,71064,Svrljig,1.0,0.0,,Milija Miletic,23,USS,,,10-Jul-2008
251,71072,Sjenica,1.0,0.0,1.0,Hazbo Mujovic,32,SDA,27.0,SDzP,20-Jun-2012
252,71072,Sjenica,1.0,,,Muriz Turkovic,27,SDzp,,,16-May-2008
253,71099,Smederevo,1.0,0.0,1.0,Jasna Avramovic,1,SNS,,,10-Jun-2012
254,71099,Smederevo,1.0,0.0,1.0,Predrag Umicevic,2,DS,,,4-May-2008
255,71102,Smederevska Palanka,1.0,0.0,0.0,Radoslav Milojicic,2,DS,2.0,DS,20-May-2012
256,71102,Smederevska Palanka,1.0,,,Zivko Petrovic,2,DS,2.0,DS,21-May-2008
257,71129,Sokobanja,1.0,1.0,0.0,Dimitrije Lukic,2,DS,,,8-Jun-2012
258,71129,Sokobanja,1.0,0.0,,Dimitrije Lukic,2,DS,,,30-Jun-2008
259,71137,Surdulica,1.0,0.0,0.0,Aleksandra Popovic,3,SPS,3.0,SPS,29-May-2014
260,71137,Surdulica,1.0,1.0,0.0,Novica Toncev,3,SPS,3.0,SPS,6-Jun-2012
261,71137,Surdulica,1.0,,,Novica Toncev,3,SPS,,,28-May-2008
262,71145,Uzice,1.0,0.0,0.0,Tihomir Petkovic,1,SNS,,,15-Aug-2014
263,71145,Uzice,1.0,0.0,1.0,Sasa Milosevic,1,SNS,,,20-Oct-2012
264,71145,Uzice,1.0,0.0,1.0,Jovan Markovic,2,DS,,,2-Jun-2008
265,71153,Topola,1.0,1.0,0.0,Dragan Jovanovic,15,NS,15.0,NS,31-May-2012
266,71153,Topola,1.0,,,Dragan Jovanovic,15,NS,,,1-Jun-2008
267,71161,Trgoviste,1.0,0.0,1.0,Nenad Krstic,1,SNS,3.0,SPS,18-Mar-2013
268,71161,Trgoviste,1.0,0.0,1.0,Radoslav Jordanovic,3,SPS,4.0,URS,10-Jun-2012
269,71161,Trgoviste,1.0,,,Darko Tomic,4,URS,,,30-May-2008
270,71170,Trstenik,0.0,1.0,1.0,Miroslav Aleksic,16,NPS,4.0,URS,21-Sep-2014
271,71170,Trstenik,1.0,0.0,1.0,Miroslav Aleksic,4,URS,2.0,DS,9-Jul-2012
272,71170,Trstenik,1.0,,,Stevan Djakovic,2,DS,,,3-Jun-2008
273,71188,Tutin,1.0,1.0,0.0,Semsudin Kucevic,32,SDA,,,20-May-2012
274,71188,Tutin,1.0,0.0,0.0,Bajro Gegic,32,SDA,,,1-Jun-2008
275,71196,Cicevac,0.0,1.0,1.0,Zlatan Krkic,19,SDS,2.0,DS,26-Oct-2014
276,71196,Cicevac,1.0,1.0,0.0,Zlatan Krkic,2,DS,,,12-May-2012
