old,mun_id,mun,region_id,region,area_id,area
RS223,70556,Zaje?ar-grad,RS22,Region Južne i Isto?ne Srbije,RS223,Zaje?arska oblast
RS223,70319,Boljevac,RS22,Region Južne i Isto?ne Srbije,RS223,Zaje?arska oblast
RS223,70602,Knjaževac,RS22,Region Južne i Isto?ne Srbije,RS223,Zaje?arska oblast
RS223,71129,Sokobanja,RS22,Region Južne i Isto?ne Srbije,RS223,Zaje?arska oblast
RS224,70726,Leskovac-grad,RS22,Region Južne i Isto?ne Srbije,RS224,Jablani?ka oblast
RS224,70297,Bojnik,RS22,Region Južne i Isto?ne Srbije,RS224,Jablani?ka oblast
RS224,70424,Vlasotince,RS22,Region Južne i Isto?ne Srbije,RS224,Jablani?ka oblast
RS224,70718,Lebane,RS22,Region Južne i Isto?ne Srbije,RS224,Jablani?ka oblast
RS224,70815,Medve?a,RS22,Region Južne i Isto?ne Srbije,RS224,Jablani?ka oblast
RS224,71226,Crna Trava,RS22,Region Južne i Isto?ne Srbije,RS224,Jablani?ka oblast
RS225,79022,Grad Niš ,RS22,Region Južne i Isto?ne Srbije,RS225,Nišavska oblast
RS225,71331,Niš-Medijana,RS22,Region Južne i Isto?ne Srbije,RS225,Nišavska oblast
RS225,71285,Niš-Niška Banja,RS22,Region Južne i Isto?ne Srbije,RS225,Nišavska oblast
RS225,71323,Niš-Palilula,RS22,Region Južne i Isto?ne Srbije,RS225,Nišavska oblast
RS225,71307,Niš-Pantelej,RS22,Region Južne i Isto?ne Srbije,RS225,Nišavska oblast
RS225,71315,Niš-Crveni krst,RS22,Region Južne i Isto?ne Srbije,RS225,Nišavska oblast
RS225,70025,Aleksinac,RS22,Region Južne i Isto?ne Srbije,RS225,Nišavska oblast
RS225,70467,Gadžin Han,RS22,Region Južne i Isto?ne Srbije,RS225,Nišavska oblast
RS225,70513,Doljevac,RS22,Region Južne i Isto?ne Srbije,RS225,Nišavska oblast
RS225,70823,Merošina,RS22,Region Južne i Isto?ne Srbije,RS225,Nišavska oblast
RS225,71005,Ražanj,RS22,Region Južne i Isto?ne Srbije,RS225,Nišavska oblast
RS225,71064,Svrljig,RS22,Region Južne i Isto?ne Srbije,RS225,Nišavska oblast
RS226,70939,Pirot-grad,RS22,Region Južne i Isto?ne Srbije,RS226,Pirotska oblast
RS226,70050,Babušnica,RS22,Region Južne i Isto?ne Srbije,RS226,Pirotska oblast
RS226,70084,Bela Palanka,RS22,Region Južne i Isto?ne Srbije,RS226,Pirotska oblast
RS226,70505,Dimitrovgrad,RS22,Region Južne i Isto?ne Srbije,RS226,Pirotska oblast
RS227,71099,Smederevo-grad,RS22,Region Južne i Isto?ne Srbije,RS227,Podunavska oblast
RS227,70386,Velika Plana,RS22,Region Južne i Isto?ne Srbije,RS227,Podunavska oblast
RS227,71102,Smederevska Palanka,RS22,Region Južne i Isto?ne Srbije,RS227,Podunavska oblast
RS228,79057,Grad Vranje,RS22,Region Južne i Isto?ne Srbije,RS228,P?injska oblast
RS228,70432,Vranje,RS22,Region Južne i Isto?ne Srbije,RS228,P?injska oblast
RS228,71358,Vranjska Banja,RS22,Region Južne i Isto?ne Srbije,RS228,P?injska oblast
RS228,70335,Bosilegrad,RS22,Region Južne i Isto?ne Srbije,RS228,P?injska oblast
RS228,70351,Bujanovac,RS22,Region Južne i Isto?ne Srbije,RS228,P?injska oblast
RS228,70416,Vladi?in Han,RS22,Region Južne i Isto?ne Srbije,RS228,P?injska oblast
RS228,70963,Preševo,RS22,Region Južne i Isto?ne Srbije,RS228,P?injska oblast
RS228,71137,Surdulica,RS22,Region Južne i Isto?ne Srbije,RS228,P?injska oblast
RS228,71161,Trgovište,RS22,Region Južne i Isto?ne Srbije,RS228,P?injska oblast
RS229,70998,Prokuplje,RS22,Region Južne i Isto?ne Srbije,RS229,Topli?ka oblast
RS229,70262,Blace,RS22,Region Južne i Isto?ne Srbije,RS229,Topli?ka oblast
RS229,70548,Žitora?a,RS22,Region Južne i Isto?ne Srbije,RS229,Topli?ka oblast
RS229,70688,Kuršumlija,RS22,Region Južne i Isto?ne Srbije,RS229,Topli?ka oblast
RS231,90263,Priština-grad,RS23,Region Kosovo i Metohija,RS231,Kosovska oblast
RS231,90034,Glogovac,RS23,Region Kosovo i Metohija,RS231,Kosovska oblast
RS231,90115,Ka?anik,RS23,Region Kosovo i Metohija,RS231,Kosovska oblast
RS231,90131,Kosovo Polje,RS23,Region Kosovo i Metohija,RS231,Kosovska oblast
RS231,90166,Lipljan,RS23,Region Kosovo i Metohija,RS231,Kosovska oblast
RS231,90204,Obili?,RS23,Region Kosovo i Metohija,RS231,Kosovska oblast
RS231,90247,Podujevo,RS23,Region Kosovo i Metohija,RS231,Kosovska oblast
RS231,90301,Uroševac,RS23,Region Kosovo i Metohija,RS231,Kosovska oblast
RS231,90310,Štimlje,RS23,Region Kosovo i Metohija,RS231,Kosovska oblast
RS231,90328,Štrpce,RS23,Region Kosovo i Metohija,RS231,Kosovska oblast
RS232,90298,Kosovska Mitrovica,RS23,Region Kosovo i Metohija,RS232,Kosovsko-mitrova?ka oblast
RS232,90026,Vu?itrn,RS23,Region Kosovo i Metohija,RS232,Kosovsko-mitrova?ka oblast
RS232,90352,Zve?an,RS23,Region Kosovo i Metohija,RS232,Kosovsko-mitrova?ka oblast
RS232,90093,Zubin Potok,RS23,Region Kosovo i Metohija,RS232,Kosovsko-mitrova?ka oblast
RS232,90158,Leposavi?,RS23,Region Kosovo i Metohija,RS232,Kosovsko-mitrova?ka oblast
RS232,90271,Srbica,RS23,Region Kosovo i Metohija,RS232,Kosovsko-mitrova?ka oblast
RS233,90042,Gnjilane,RS23,Region Kosovo i Metohija,RS233,Kosovsko-pomoravska oblast
RS233,90018,Vitina,RS23,Region Kosovo i Metohija,RS233,Kosovsko-pomoravska oblast
RS233,90140,Kosovska Kamenica,RS23,Region Kosovo i Metohija,RS233,Kosovsko-pomoravska oblast
RS233,90182,Novo Brdo,RS23,Region Kosovo i Metohija,RS233,Kosovsko-pomoravska oblast
RS234,90239,Pe?,RS23,Region Kosovo i Metohija,RS234,Pe?ka oblast
RS234,90069,De?ani,RS23,Region Kosovo i Metohija,RS234,Pe?ka oblast
RS234,90085,?akovica,RS23,Region Kosovo i Metohija,RS234,Pe?ka oblast
RS234,90107,Istok,RS23,Region Kosovo i Metohija,RS234,Pe?ka oblast
RS234,90123,Klina,RS23,Region Kosovo i Metohija,RS234,Pe?ka oblast
RS235,90255,Prizren,RS23,Region Kosovo i Metohija,RS235,Prizrenska oblast
RS235,90336,Gora,RS23,Region Kosovo i Metohija,RS235,Prizrenska oblast
RS235,90212,Orahovac,RS23,Region Kosovo i Metohija,RS235,Prizrenska oblast
RS235,90280,Suva Reka,RS23,Region Kosovo i Metohija,RS235,Prizrenska oblast
