mun_id,year,plan,actual,budget_data,income_value,income_data,transfers,debt
70505,2012,,,,4812440.0,1.0,1198550.0,0.0
70505,2013,,,,5345080.0,1.0,1558290.0,0.0
70513,2011,2688170.0,2499630.0,1.0,2548210.0,1.0,1147500.0,0.0
70513,2012,3853410.0,3544780.0,1.0,4067560.0,1.0,2118790.0,0.0
70513,2013,4367370.0,3588960.0,1.0,4029930.0,1.0,2098760.0,0.0
70513,2014,4278170.0,3343470.0,1.0,,,,
70513,2015,4288470.0,,1.0,,,,
70521,2011,2112354.8,1561854.4,1.0,2019320.0,1.0,1144950.0,140.0
70521,2012,3054740.0,2784587.9,1.0,2634440.0,1.0,1869630.0,0.0
70521,2013,3056108.9,2716645.1,1.0,2891060.0,1.0,1889620.0,0.0
70521,2014,2976631.4,2230936.2,1.0,,,,
70521,2015,2900591.0,,1.0,,,,
70530,2011,4764600.0,2197720.0,1.0,2514330.0,1.0,1479740.0,0.0
70530,2012,3821710.0,3579600.0,1.0,3873160.0,1.0,2666870.0,0.0
70530,2013,4626080.0,3624530.0,1.0,3860560.0,1.0,2759660.0,0.0
70530,2014,5083660.0,3849470.0,1.0,,,,
70530,2015,4345490.0,,1.0,,,,
70548,2011,3181140.0,2343370.0,1.0,2858660.0,1.0,1600960.0,0.0
70548,2012,4758690.0,4083320.0,1.0,4126470.0,1.0,2712820.0,0.0
70548,2013,1494350.0,1192710.0,1.0,4417930.0,1.0,2399050.0,0.0
70548,2014,4569480.0,3497090.0,1.0,,,,
70548,2015,60975410.0,,1.0,,,,
70556,2011,24171107.1,13535465.8,1.0,15387620.0,1.0,2486150.0,2863530.0
70556,2012,18167807.2,14581354.7,1.0,15635660.0,1.0,3206360.0,0.0
70556,2013,19809014.3,14249664.1,1.0,15314060.0,1.0,3446480.0,0.0
70556,2014,18913782.1,1712960.7,1.0,,,,
70556,2015,24028905.2,,1.0,,,,
70564,2011,7324800.0,6180240.0,1.0,7082510.0,1.0,149070.0,0.0
70564,2012,9227120.0,7372557.1,1.0,8022090.0,1.0,188520.0,0.0
70564,2013,9252970.0,7775330.0,1.0,8319810.0,1.0,89350.0,0.0
70564,2014,11441920.0,6973270.0,1.0,,,,
70564,2015,10138580.0,,1.0,,,,
70572,2011,8895184.5,6506824.3,1.0,6348050.0,1.0,914050.0,558040.0
70572,2012,8327874.7,6959975.8,1.0,7639270.0,1.0,1532640.0,0.0
70572,2013,7977740.0,6558925.2,1.0,6550100.0,1.0,1694310.0,0.0
70572,2014,7767864.0,6441752.9,1.0,,,,
70572,2015,6876962.6,,1.0,,,,
70599,2011,3079830.0,2326930.0,1.0,2506740.0,1.0,1512480.0,0.0
70599,2012,3857000.0,2850860.0,1.0,3214520.0,1.0,1974500.0,0.0
70599,2013,3988020.0,2673800.0,1.0,3251300.0,1.0,2046480.0,0.0
70599,2014,4077840.0,2949520.0,1.0,,,,
70599,2015,4167220.0,,1.0,,,,
70602,2011,7327050.0,6582230.0,1.0,6432410.0,1.0,2964490.0,0.0
70602,2012,9895030.0,9588750.0,1.0,9653820.0,1.0,4881240.0,0.0
70602,2013,9480570.0,8579530.0,1.0,8689160.0,1.0,4460510.0,0.0
70602,2014,9746720.0,8114870.0,1.0,,,,
70602,2015,9936200.0,,1.0,,,,
