,mun_id,place_id,zip_id
1651,71048,738174,35219
1656,71048,738247,35270
1660,71048,738280,35268
1662,71048,738301,35271
1665,71048,738336,35220
1667,71048,738379,35203
1671,71048,738417,35269
1680,70904,731323,35249
1683,70904,731358,35255
1687,70904,731404,35258
1688,70904,731412,35257
1696,70904,731501,35250
1697,70904,731510,35247
1698,70904,731528,35254
1699,70904,731536,35207
1701,70904,731552,35206
1702,70904,731579,35259
1703,70904,731587,35256
1707,70904,731625,35246
1709,70904,731641,35248
1715,71030,737569,35263
1722,71030,737631,35265
1730,71030,737739,35274
1734,71030,737771,35267
1735,71030,737780,35264
1738,71030,737810,35260
1747,71056,738476,35217
1749,71056,738492,35208
1757,71056,738581,35226
1764,71056,738654,35210
1765,71056,738662,35211
1766,71056,738689,35209
1771,71200,744344,35238
1777,71200,744417,35205
1779,71200,744433,35227
1780,71200,744441,35236
1783,71200,744476,35233
1784,71200,744484,35228
1785,71200,744492,35230
1787,70327,706418,19210
1788,70327,706426,19229
1791,70327,706469,19213
1792,70327,706477,19215
1794,70327,706493,19234
1795,70327,706507,19204
1797,70327,706523,19221
1800,70327,706558,19373
1802,70572,716502,19323
1804,70572,716537,19328
1807,70572,716561,19327
1809,70572,716588,19320
1811,70572,716600,19329
1818,70572,716685,19326
1820,70572,716707,19321
1824,70572,716740,19325
1830,70785,726818,19220
1831,70785,726826,19256
1832,70785,726834,19222
1834,70785,726869,19250
1837,70785,726893,19257
1842,70840,728454,19315
1849,70840,728543,19335
1850,70840,728560,19304
1851,70840,728578,19332
1853,70840,728594,19316
1858,70840,728659,19322
1859,70840,728667,19317
1860,70840,728675,19300
1861,70840,728683,19307
1863,70840,728705,19330
1864,70840,728713,19334
1865,70840,728721,19314
1867,70840,728748,19318
1869,70840,728764,19225
1874,70840,728837,19306
1875,70840,728845,19305
1879,70840,728888,19303
1882,70319,706205,19372
1883,70319,706213,19370
1891,70319,706302,19375
1892,70319,706329,19371
1896,70319,706361,19233
1899,70319,706396,19377
1900,70319,706400,19376
1903,70556,715514,19313
1904,70556,715522,19235
1905,70556,715549,19206
1907,70556,715565,19312
1908,70556,715573,19344
1910,70556,715590,19228
1913,70556,715620,19205
1914,70556,715638,19342
1915,70556,715646,19341
1916,70556,715654,19232
1918,70556,715689,19000
1919,70556,715697,19227
1922,70556,715735,19223
1924,70556,715751,19343
1926,70556,715778,19208
1928,70556,715794,19347
1929,70556,715808,19209
1932,70556,715832,19311
1935,70556,715875,19214
1936,70556,715883,19224
1951,70602,717223,19366
1955,70602,717266,19362
1957,70602,717282,19376
1959,70602,717312,19368
1972,70602,717452,19352
1974,70602,717487,19345
1988,70602,717622,19353
1990,70602,717657,19350
1997,70602,717720,19340
2004,70602,717819,19362
2025,70602,718033,19379
2036,71129,740802,18236
2037,71129,740829,18237
2040,71129,740853,18234
2051,71129,740977,18230
2055,71129,741027,18232
2058,70041,701629,31230
2061,70041,701653,31234
2070,70041,701742,31233
2081,70068,702455,31250
2082,70068,702463,31258
2093,70068,702587,31253
2098,70068,702633,31254
2106,70068,702714,31256
2111,70068,702773,31255
2120,70629,718114,31263
2128,70629,718203,31260
2138,70629,718327,31262
2148,70866,729671,31325
2149,70866,729680,31322
2159,70866,729795,31317
2162,70866,729825,31319
2168,70866,729884,31320
2186,70955,733237,31214
2194,70955,733318,31215
2206,70955,733440,31210
2212,70955,733512,31237
2223,70971,734004,31337
2244,70971,734233,31330
2257,70980,734365,31307
2264,70980,734438,31305
2272,70980,734535,31308
2289,70980,734713,31306
2321,70980,735078,31300
2340,71072,739162,36315
2373,71072,739545,36312
2414,71072,739995,36310
2425,71072,740110,36313
2437,71072,740241,36311
2440,71145,741477,31241
2456,71145,741655,31204
2461,71145,741701,31242
2465,71145,741744,31243
2472,71145,741825,31206
2475,71145,741850,31205
2480,71145,741892,31000
2489,71234,745294,31315
2492,71234,745260,31209
2493,71234,745278,31312
2496,71234,745316,31208
2500,71234,745367,31207
2504,71234,745405,31310
2505,71234,745413,31244
2508,70483,713147,32305
2510,70483,713163,32312
2512,70483,713180,32303
2513,70483,713198,32307
2518,70483,713244,32315
2523,70483,713309,32306
2525,70483,713325,32300
2531,70483,713384,32316
2554,70483,713643,32308
2557,70483,713678,32313
2563,70483,713732,32304
2566,70483,713775,32314
2569,70483,713805,32311
2572,70564,715972,32256
2573,70564,715999,32253
2576,70564,746720,32251
2578,70564,716049,32254
2589,70564,716154,32250
2598,70564,716260,32258
2604,70564,716324,32255
2609,70564,716383,32252
2622,70742,725790,32233
2625,70742,725820,32232
2630,70742,725889,32230
2631,70742,725897,32230
2639,70742,725986,32234
2640,70742,725994,32235
2645,70742,726044,32240
2647,70742,726079,32243
2665,71242,745502,32213
2674,71242,745600,32215
2678,71242,745642,32223
2694,71242,745839,32210
2695,71242,745847,32224
2696,71242,745855,32242
2701,71242,745901,32212
2713,71242,746045,32205
2715,71242,746061,32000
2718,70459,712353,36210
2719,70459,712361,36217
2724,70459,712418,36216
2726,70459,712434,36215
2732,70653,719307,36203
2736,70653,719340,36341
2743,70653,719439,36206
2744,70653,719447,36207
2745,70653,719455,36214
2759,70653,746649,36221
2769,70653,719706,36340
2770,70653,719714,36000
2771,70653,719749,36204
2778,70653,719811,36201
2801,70653,720062,36212
2804,70653,720119,36205
2805,70653,720127,36222
2808,70653,720151,36202
2810,70653,720178,36208
2818,70653,720267,36342
2822,70653,720305,36220
2850,70874,730254,36305
2874,70874,730521,36306
2881,70874,730602,36300
2923,70874,731064,36314
2926,71021,736872,36344
2935,71021,736988,36346
2948,71021,737135,36345
2952,71021,737178,36354
2976,71021,737445,36350
2978,71021,737461,36353
3013,71188,743496,36307
3061,71188,744018,36309
3071,71188,744123,36320
3073,71188,744140,36321
3081,70017,700029,37230
3086,70017,700070,37233
3097,70017,700193,37234
3099,70017,700215,37271
3118,70017,700428,37238
3133,70017,700584,37235
3135,70017,700606,37239
3139,70343,706990,37226
3145,70343,707058,37225
3146,70343,707066,37220
3176,70343,707392,37224
3180,70343,707449,37227
3187,70343,707511,37223
3196,70378,709115,37265
3197,70378,709123,37262
3198,70378,709131,37260
3203,70378,709182,37258
3210,70378,709271,37266
3219,70670,720593,37253
3229,70670,720704,37209
3231,70670,720739,37204
3241,70670,720836,37251
3242,70670,720844,37221
3245,70670,720887,37206
3250,70670,720933,37202
3252,70670,720950,37203
3256,70670,720992,37252
3259,70670,721026,37256
3263,70670,721077,37254
3266,70670,721107,37000
3267,70670,721115,37255
3287,70670,721336,37257
3289,70670,721352,37201
3291,70670,721387,37231
3296,70670,721433,37205
3313,70670,721611,37208
3325,71170,742694,37245
3346,71170,742937,37244
3348,71170,742953,37246
3356,71170,743038,37243
3364,71170,743135,37242
3368,71170,743178,37240
3378,71196,744298,37214
3379,71196,744301,37212
3381,71196,744328,37210
3384,70025,700614,18220
3386,70025,700649,18226
3397,70025,700754,18221
3417,70025,700983,18223
3418,70025,700991,18210
3422,70025,701033,18225
3424,70025,701050,18216
3427,70025,701084,18214
3431,70025,701122,18228
3434,70025,701165,18229
3444,70025,701262,18224
3448,70025,701327,18227
3449,70025,701335,18212
3461,70467,712531,18240
3464,70467,712566,18241
3469,70467,712639,18242
3483,70467,712787,18246
3487,70467,712825,18244
3492,70513,714640,18411
3493,70513,714658,18410
3497,70513,714704,18415
3501,70513,714755,18255
3505,70513,714798,18417
3512,70823,727784,18257
3524,70823,727911,18258
3525,70823,727920,18253
3530,70823,727997,18252
3539,71005,736449,37213
3545,71005,736503,37216
3551,71005,736562,37215
3553,71005,736597,37218
3562,71064,738735,18368
3564,71064,738751,18363
3570,71064,738816,18208
3578,71064,738905,18201
3584,71064,738964,18366
3592,71064,739065,18365
3595,71064,739090,18360
3603,71331,792047,18000
3609,71285,729191,18206
3615,71285,729370,18205
3616,71285,729400,18312
3630,71323,729060,18254
3635,71323,729264,15256
3636,71323,728004,18251
3638,71323,792055,18106
3647,71307,729086,18204
3653,71307,729299,18207
3654,71307,792012,18103
3663,71315,729043,18202
3671,71315,729329,18209
3674,71315,792039,18104
3677,71315,729469,18260
3679,71315,729531,18203
3681,71315,729574,18211
3687,70262,705217,18426
3688,70262,705225,18420
3692,70262,705268,18425
3736,70548,715280,18414
3739,70548,715310,18406
3741,70548,715336,18412
3748,70548,715417,18413
3759,70688,721697,18432
3778,70688,721905,18408
3785,70688,721972,18438
3796,70688,722103,18430
3797,70688,722111,18435
3799,70688,722138,18437
3809,70688,722251,18445
3810,70688,722260,18436
3825,70688,722421,18433
3828,70688,722456,18440
3859,70998,735361,18424
3869,70998,735477,18403
3891,70998,735710,18404
3894,70998,735744,18421
3901,70998,735825,18407
3914,70998,735965,18409
3916,70998,735981,18423
3937,70998,736210,18400
3952,70998,736376,18405
3959,70050,701866,18330
3967,70050,701963,18215
3981,70050,702129,18333
3989,70050,702200,18217
4006,70050,702382,18332
4014,70084,703001,18310
4026,70084,703133,18314
4027,70084,703141,18314
4052,70084,703427,18313
4077,70505,714364,18320
4081,70505,714429,18325
4084,70505,714453,18324
4093,70505,714542,18326
4100,70505,714623,18323
4115,70939,732184,18306
4119,70939,732222,18309
4134,70939,732397,18307
4149,70939,732575,18300
4165,70939,732753,18322
4166,70939,732761,18355
4172,70939,732826,18304
4176,70297,705799,16205
4193,70297,705985,16206
4202,70297,706086,16233
4218,70424,710717,16210
4252,70424,711080,16212
4263,70718,723193,16232
4277,70718,723355,16230
4309,70726,723681,16254
4314,70726,723738,16253
4320,70726,723819,16221
4328,70726,723894,16203
4346,70726,724084,16220
4348,70726,724106,16211
4388,70726,724548,16000
4394,70726,724629,16201
4398,70726,724661,16204
4414,70726,724831,16251
4417,70726,724866,16222
4418,70726,724874,16222
4423,70726,724947,16252
4436,70726,725072,16231
4465,70815,727466,16248
4470,70815,727539,16240
4482,70815,727652,16246
4487,70815,727717,16247
4514,71226,745138,16213
4515,71226,745146,16215
4520,70335,706582,17546
4521,70335,706604,17540
4527,70335,706671,18538
4534,70335,706744,17544
4536,70335,706779,17547
4557,70351,707627,17522
4564,70351,707694,17520
4566,70351,707716,17528
4581,70351,707872,17524
4585,70351,707937,17558
4594,70351,708020,17529
4622,70416,710156,17510
4644,70416,710407,17513
4654,70416,710512,17511
4662,70416,710601,17512
4666,70416,710644,17514
4679,70432,711292,17507
4680,70432,711306,17500
4681,70432,711314,17542
4710,70432,711632,17545
4713,70432,711675,17543
4737,70432,711934,17554
4743,70432,712019,17521
4795,70963,733857,17523
4815,71137,741086,17537
4816,71137,741094,17532
4817,71137,741108,17533
4830,71137,741230,17531
4833,71137,741264,17535
4845,71137,741400,17530
4860,71161,742333,17526
4877,71161,742511,17561
4880,71161,742546,17525
4986,90131,906395,38210
5017,90166,908312,38207
5027,90166,908428,38208
5177,90263,912662,38205
5189,90263,912808,38204
5288,90328,915769,38157
5295,90328,915831,38239
5302,90328,915912,38236
5919,90352,914118,38216
5933,90352,914509,38227
5982,90093,904295,38228
6044,90298,914975,38220
6110,90158,907740,38218
6111,90158,907758,38219
6129,90158,907952,38217
6198,90018,900095,38263
6276,90042,902063,38266
6290,90042,902217,38252
6328,90140,906859,38260
6351,90140,907103,38267
