,date,pres_name,mun,party_id,mun_id,name_abr,name_full,in_gov11,ingov12,ingov14,ag1_name_abr,ag1_party_id,ag1_name_full,ag2_name_abr,ag2_party_id,ag2_name_full,nat_party
65,2009-08-31,Milan Popovic,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
66,2009-09-30,Milan Popovic,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
67,2009-10-31,Milan Popovic,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
68,2009-11-30,Milan Popovic,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
69,2009-12-31,Milan Popovic,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
70,2010-01-31,Milan Popovic,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
71,2010-02-28,Milan Popovic,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
72,2010-03-31,Milan Popovic,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
73,2010-04-30,Milan Popovic,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
74,2010-05-31,Milan Popovic,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
75,2010-06-30,Milan Popovic,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
76,2010-07-31,Milan Popovic,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
77,2010-08-31,Milan Popovic,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
78,2010-09-30,Milan Popovic,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
79,2010-10-31,Milan Popovic,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
80,2010-11-30,Milan Popovic,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
81,2010-12-31,Milan Popovic,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
82,2011-01-31,Milan Popovic,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
