,date,pres_name,mun,party_id,mun_id,name_abr,name_full,in_gov11,ingov13,fringe13,ingov14,ag1_name_abr,ag1_party_id,ag1_name_full,ag2_name_abr,ag2_party_id,ag2_name_full,ag3_name_abr,ag3_party_id,ag3_name_full,nat_party
53,2015-01-01,Milinkovic Milorad,Vladimirci,1,70408,SNS,Srpska Napredna Stranka,0,1,0,1,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,1
54,2016-01-01,Milinkovic Milorad,Vladimirci,1,70408,SNS,Srpska Napredna Stranka,0,1,0,1,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,1
55,2013-01-01,Goran Mladenovic,Vladicin Han,1,70416,SNS,Srpska Napredna Stranka,0,1,0,1,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,1
56,2014-01-01,Goran Mladenovic,Vladicin Han,1,70416,SNS,Srpska Napredna Stranka,0,1,0,1,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,1
57,2015-01-01,Branislav Tosic,Vladicin Han,1,70416,SNS,Srpska Napredna Stranka,0,1,0,1,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,1
58,2016-01-01,Branislav Tosic,Vladicin Han,1,70416,SNS,Srpska Napredna Stranka,0,1,0,1,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,1
59,2014-01-01,Zoran Todorovic,Vlasotince,1,70424,SNS,Srpska Napredna Stranka,0,1,0,1,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,1
60,2016-01-01,Zoran Todorovic,Vlasotince,1,70424,SNS,Srpska Napredna Stranka,0,1,0,1,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,1
61,2013-01-01,Boban Djurovic,Vrnjacka Banja,1,70459,SNS,Srpska Napredna Stranka,0,1,0,1,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,1
62,2014-01-01,Boban Djurovic,Vrnjacka Banja,1,70459,SNS,Srpska Napredna Stranka,0,1,0,1,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,1
63,2015-01-01,Boban Djurovic,Vrnjacka Banja,1,70459,SNS,Srpska Napredna Stranka,0,1,0,1,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,1
64,2016-01-01,Boban Djurovic,Vrnjacka Banja,1,70459,SNS,Srpska Napredna Stranka,0,1,0,1,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,1
65,2015-01-01,Nebojsa Mijovic,Golubac,1,70475,SNS,Srpska Napredna Stranka,0,1,0,1,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,1
66,2016-01-01,Nebojsa Mijovic,Golubac,1,70475,SNS,Srpska Napredna Stranka,0,1,0,1,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,1
67,2015-01-01,Zoran Djurov,Dimitrovgrad,1,70505,SNS,Srpska Napredna Stranka,0,1,0,1,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,1
68,2016-01-01,Zoran Djurov,Dimitrovgrad,1,70505,SNS,Srpska Napredna Stranka,0,1,0,1,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,SNS,1,Srpska Napredna Stranka,1
