,mun_id,mun,mun_type,area_km2,pop_total,total,active_total,active_employed,active_unemployed,active_unemp_former,active_unemp_firstjob,inactive_total,inactive_students,inactive_houshold,labor_pariticpation_rate,total_nat,serbs,albanians,bosnians,bulgarians,bunjevci,vlasi,goranci,yugoslavs,hungarians,macedonians,muslims,germans,roma,romanians,russians,rusini,slovaks,slovenians,ukranians,croats,montenegrins,rest,undeclared,regional_assoc,unkown,majority_nationality,wage_2010,wage_2011,wage_2012,wage_2013,wage_2014,employment_rate,employment_per_pop,share_serbian,pop_density
46,70505,Dimitrovgrad,normal,483.0,9758.0,10118.0,3872.0,2697.0,1175.0,768.0,407.0,6246.0,694.0,627.0,0.382684324965,10118.0,2819.0,1.0,,5413.0,,,3.0,59.0,,38.0,,,68.0,,2.0,,1.0,1.0,,16.0,9.0,131.0,1533.0,3.0,21.0,bulgarians,25019.0,27037.0,27423.0,29822.0,30778.0,0.696539256198,0.276388604222,0.278612373987,20.2028985507
47,70513,Doljevac,normal,121.0,18305.0,18463.0,7178.0,4001.0,3177.0,1500.0,1677.0,11285.0,1042.0,2530.0,0.38877755511,18463.0,17008.0,2.0,,3.0,,,2.0,5.0,,17.0,2.0,2.0,1218.0,4.0,5.0,,,2.0,,8.0,8.0,4.0,101.0,,72.0,serbs,24238.0,24707.0,28754.0,31831.0,31020.0,0.557397603789,0.218574160066,0.921193738829,151.280991736
48,70521,zabari,normal,264.0,10645.0,11380.0,4019.0,3373.0,646.0,441.0,205.0,7361.0,566.0,1219.0,0.35316344464,11380.0,10137.0,1.0,,,,433.0,,1.0,2.0,11.0,2.0,4.0,57.0,76.0,3.0,1.0,1.0,,1.0,11.0,6.0,9.0,211.0,,413.0,serbs,26597.0,30652.0,30552.0,30013.0,28774.0,0.839263498383,0.316862376703,0.890773286467,40.321969697
49,70530,zagubica,normal,760.0,12084.0,12737.0,4339.0,3699.0,640.0,360.0,280.0,8398.0,680.0,1343.0,0.340661066185,12737.0,9024.0,1.0,1.0,18.0,,2811.0,,8.0,3.0,2.0,4.0,4.0,42.0,71.0,1.0,,,1.0,,8.0,5.0,9.0,274.0,2.0,448.0,serbs,27769.0,31806.0,35442.0,37031.0,37463.0,0.85250057617,0.306107249255,0.708487084871,15.9
50,70548,zitoradja,normal,214.0,15792.0,16368.0,4949.0,3230.0,1719.0,608.0,1111.0,11419.0,938.0,2665.0,0.30235826002,16368.0,14735.0,1.0,,4.0,,1.0,,1.0,4.0,11.0,6.0,,1366.0,,3.0,,,1.0,3.0,4.0,5.0,2.0,124.0,,97.0,serbs,24891.0,28171.0,30263.0,34880.0,35272.0,0.652657102445,0.204533941236,0.900232160313,73.7943925234
51,70556,Zajecar,normal,1069.0,57457.0,59461.0,23882.0,17878.0,6004.0,3845.0,2159.0,35579.0,4127.0,4426.0,0.401641412018,59461.0,52292.0,40.0,4.0,181.0,,2856.0,28.0,89.0,14.0,148.0,28.0,6.0,753.0,204.0,7.0,,5.0,23.0,2.0,71.0,98.0,150.0,1400.0,29.0,1033.0,serbs,30239.0,33550.0,37394.0,39442.0,40632.0,0.74859726991,0.311154428529,0.879433578312,53.748362956
52,70564,Ivanjica,normal,1090.0,31033.0,31963.0,14374.0,11064.0,3310.0,2371.0,939.0,17589.0,2648.0,2060.0,0.449707474267,31963.0,31507.0,13.0,,1.0,1.0,,7.0,7.0,4.0,13.0,8.0,,29.0,1.0,6.0,,1.0,1.0,1.0,9.0,24.0,12.0,44.0,1.0,273.0,serbs,23840.0,29369.0,30733.0,32782.0,32344.0,0.769723111173,0.356523700577,0.985733504364,28.4706422018
53,70572,Kladovo,normal,629.0,19834.0,20635.0,7010.0,5934.0,1076.0,690.0,386.0,13625.0,1304.0,2381.0,0.339714078023,20635.0,17673.0,,2.0,6.0,,788.0,6.0,16.0,8.0,42.0,6.0,1.0,36.0,156.0,3.0,,2.0,4.0,6.0,35.0,236.0,37.0,616.0,1.0,955.0,serbs,33397.0,38186.0,42870.0,45395.0,42256.0,0.846504992867,0.299183220732,0.856457475164,31.5325914149
54,70599,Knic,normal,413.0,13675.0,14237.0,5550.0,4588.0,962.0,551.0,411.0,8687.0,896.0,1568.0,0.389829317974,14237.0,14081.0,1.0,,1.0,,,,5.0,4.0,5.0,,1.0,,,,,,2.0,,9.0,22.0,2.0,55.0,1.0,48.0,serbs,25787.0,28029.0,31064.0,32369.0,33283.0,0.826666666667,0.33550274223,0.989042635387,33.1113801453
55,70602,Knjazevac,normal,1202.0,29948.0,31491.0,15425.0,12334.0,3091.0,2241.0,850.0,16066.0,1937.0,1341.0,0.489822488965,31491.0,29631.0,22.0,7.0,33.0,,20.0,,15.0,12.0,42.0,7.0,4.0,789.0,4.0,8.0,,1.0,6.0,6.0,23.0,20.0,23.0,626.0,5.0,187.0,serbs,21045.0,24028.0,27878.0,30313.0,31864.0,0.79961102107,0.411847201816,0.940935505382,24.9151414309
