,mun_id,mun,year,income_value,l6,l2,l3,l4,l2_name_english,l3_name_english,l4_name_english,l6_name_english
164,80217,Kovacica,2013,2177480.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
165,80225,Kovin,2011,2636460.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
166,80225,Kovin,2012,3834560.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
167,80225,Kovin,2013,3587330.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
168,70645,Kragujevac,2011,17473380.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
169,70645,Kragujevac,2012,27096140.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
170,70645,Kragujevac,2013,27636440.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
171,70653,Kraljevo,2012,15786090.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
172,70653,Kraljevo,2011,10060130.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
173,70653,Kraljevo,2013,14682560.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
174,70661,Krupanj,2011,598830.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
175,70661,Krupanj,2012,909430.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
176,70661,Krupanj,2013,865920.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
177,70670,Krusevac,2012,14413370.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
178,70670,Krusevac,2011,9086910.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
179,70670,Krusevac,2013,13418530.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
180,70696,Kucevo,2011,694310.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
181,70696,Kucevo,2012,1106990.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
182,70696,Kucevo,2013,1069270.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
183,80233,Kula,2011,4220870.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
184,80233,Kula,2012,5496740.0,5004,5001,5002,5003,Current income and income from sale of non-financial assets,Current income,Taxes,"Taxes on income, profits and capital gains "
