mun_id,year, domestic borrowing, foreign borrowing, sale forest and water, sale of domestic financial assets, sale of foreign financial assets, sale of goods for resale, sale of inventories, sale of land, sale of other fixed assets , sale of stockpiles, sale of valuables, sale underground valuables,Donations from foreign governments,Donations from international organizations,Excises,"Fines, penalties and forfeits",Income from sale of movable property,Memorandum items for expenditures refund ,Memorandum items for expenditures refund from the previous year,Mixed and indefinite income,Other social contributions,Other taxes,Property income,Revenue from the budget,Sales of goods and services,Single tax on exra profit and extra assets acquired using special benefits,Social security contributions,Taxes on goods and services,"Taxes on income, profits and capital gains ",Taxes on international trade and transactions,Taxes on payroll and workforce,Taxes on property,Transfers between budget users at the same level,Transfers from other level of government,Voluntary transfers other than grants,proceeds from the real estate sales
70629,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20310.0,0.0,0.0,0.0,16720.0,0.0,124150.0,149330.0,0.0,182560.0,0.0,0.0,282150.0,862970.0,0.0,30.0,159230.0,0.0,708590.0,0.0,0.0
70629,2012,1014210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16440.0,0.0,40990.0,150.0,336410.0,0.0,91500.0,130400.0,32370.0,470780.0,0.0,0.0,276130.0,1352590.0,0.0,10.0,177530.0,0.0,1268620.0,60030.0,330910.0
70629,2013,600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14300.0,0.0,36380.0,0.0,21600.0,0.0,122870.0,176580.0,0.0,106520.0,0.0,0.0,219710.0,1142830.0,0.0,10.0,180270.0,10920.0,792850.0,52190.0,123720.0
70637,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224330.0,0.0,0.0,18560.0,0.0,8070.0,0.0,410210.0,0.0,25550.0,101420.0,65970.0,29020.0,0.0,0.0,117500.0,591660.0,0.0,0.0,121360.0,0.0,1054390.0,1400.0,2820.0
70637,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106090.0,0.0,0.0,20360.0,0.0,50250.0,0.0,106950.0,0.0,25700.0,46860.0,79270.0,31370.0,0.0,0.0,117740.0,894250.0,0.0,110.0,139590.0,0.0,1654860.0,4640.0,2190.0
70637,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46120.0,0.0,0.0,0.0,0.0,0.0,12150.0,0.0,20370.0,0.0,11370.0,0.0,116700.0,0.0,38930.0,88540.0,80770.0,25220.0,0.0,0.0,79350.0,860490.0,0.0,20.0,223620.0,0.0,1797790.0,2110.0,2170.0
70645,2011,3620000.0,0.0,0.0,55480.0,0.0,18810.0,940.0,0.0,900.0,1715700.0,0.0,0.0,7330.0,52560.0,0.0,170270.0,5380.0,211470.0,8870.0,435970.0,0.0,937000.0,5144610.0,0.0,6025380.0,0.0,0.0,1303360.0,17473380.0,0.0,21460.0,3517820.0,0.0,8276080.0,4520.0,270.0
70645,2012,4230000.0,0.0,0.0,3050.0,0.0,15900.0,600.0,0.0,0.0,304070.0,0.0,0.0,190100.0,12080.0,0.0,186450.0,0.0,346780.0,8260.0,462850.0,0.0,953480.0,5201630.0,0.0,6121080.0,0.0,0.0,1441490.0,27096140.0,0.0,50.0,3380440.0,0.0,8107320.0,13000.0,460.0
70645,2013,2400000.0,0.0,0.0,3340.0,0.0,12250.0,460.0,0.0,0.0,151870.0,0.0,0.0,90510.0,13920.0,0.0,220740.0,3610.0,375880.0,28580.0,380890.0,0.0,1264030.0,8917760.0,0.0,4106270.0,0.0,0.0,1043650.0,27636440.0,0.0,60.0,4805340.0,0.0,8150110.0,15980.0,68180.0
70653,2011,1600000.0,0.0,0.0,160640.0,0.0,0.0,0.0,0.0,477750.0,0.0,0.0,0.0,0.0,0.0,0.0,177740.0,0.0,18370.0,2710.0,79350.0,0.0,526950.0,1275390.0,0.0,567840.0,0.0,0.0,701160.0,10060130.0,0.0,60.0,1739850.0,0.0,21815890.0,20000.0,0.0
