mun_id,year,average_wage
71099,2011,404.58
71099,2012,414.99
71099,2013,403.76
71099,2014,415.69
70386,2010,288.32
70386,2011,328.72
70386,2012,372.15
70386,2013,346.27
70386,2014,364.83
71102,2010,282.16
71102,2011,291.18
71102,2012,315.09
71102,2013,320.48
71102,2014,318.16
79057,2010,272.14
79057,2011,297.79
79057,2012,323.0
79057,2013,332.11
79057,2014,304.96
70432,2012,332.23
70432,2013,339.99
70432,2014,309.6
71358,2012,255.03
71358,2013,273.91
71358,2014,271.05
70335,2010,209.39
70335,2011,266.48
70335,2012,314.61
70335,2013,341.86
70335,2014,339.77
70351,2010,278.41
70351,2011,312.58
70351,2012,333.53
70351,2013,357.76
70351,2014,328.77
70416,2010,163.32
70416,2011,245.63
70416,2012,277.03
70416,2013,299.84
70416,2014,301.23
70963,2010,290.07
70963,2011,320.74
70963,2012,397.93
70963,2013,401.15
70963,2014,372.7
71137,2010,268.35
71137,2011,342.97
71137,2012,362.32
71137,2013,399.16
71137,2014,388.87
71161,2010,242.0
71161,2011,240.71
71161,2012,283.8
71161,2013,293.34
71161,2014,275.77
70998,2010,259.9
70998,2011,275.92
70998,2012,311.81
70998,2013,339.34
70998,2014,342.21
70262,2010,237.44
70262,2011,273.26
70262,2012,301.4
70262,2013,311.98
70262,2014,308.18
70548,2010,248.91
70548,2011,281.71
70548,2012,302.63
70548,2013,348.8
70548,2014,352.72
70688,2010,165.03
70688,2011,239.54
70688,2012,242.82
70688,2013,280.75
70688,2014,300.44
